uuid,series_id,series_title,frequency,year,period,period_name,value,latest,footnotes,source_type,collection_timestamp,normalization_timestamp,checksum
49b4e7d2-6025-413f-8c74-d2a4a9f785e3,LNS14000000,Unemployment Rate,Monthly,2020,M01,January,3.6,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,4b3b4bc3e2f389c2cf6b1d95cfdb3744878f114282f73a042f5db1e736516bd6
a791b8f6-8389-430c-8f76-ecb2689f0e1e,CES0000000001,Total Nonfarm Employment,Monthly,2020,M01,January,152031,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,c8bc272063519ee6c4d89f76e4a778b9928ad38fdc5aebd7cb15769668d88452
a01ff00c-7df7-47ee-9ecc-a4dd6179f0bd,LNS14000000,Unemployment Rate,Monthly,2020,M02,February,3.5,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,d84d3f25310525d9e4a8cecdb4bc297947d1e4613b961f849a847d59dda87a70
b3cf21ce-8786-4e88-b345-36fe546438e7,CES0000000001,Total Nonfarm Employment,Monthly,2020,M02,February,152293,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,388159d4bd72cf0d3534ef9b79ad11888e4991949569a894e7aecc99152dc041
08b5c5bc-e3df-44ff-b476-2b4dd4900c21,LNS14000000,Unemployment Rate,Monthly,2020,M03,March,4.4,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,529e32e69a2e39e7afe9643ac4d75d5a18037b87234c8f1ef8cfdc88514da0ce
3c5398de-98cf-4d6e-9d0b-29c5ffaa60a8,CES0000000001,Total Nonfarm Employment,Monthly,2020,M03,March,150895,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,04e7dddfd739820ab83d593df1fd0a4c7986b8d89fc772d4b42a721373cced31
f4000807-987c-4f6f-84c6-9083efd4a83c,LNS14000000,Unemployment Rate,Monthly,2020,M04,April,14.8,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,86af08fbcd0919ec9192bfc6f772f204a79dbc2a98e2aaa02fcbba13b1890668
d43e0926-7a99-4785-9d54-1905b6ce9355,CES0000000001,Total Nonfarm Employment,Monthly,2020,M04,April,130426,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,48196fbbb9280b78cb8cd48686669dc533e438a3eef6c9fb9e0d301622bd8aa4
88ad9742-ed3c-4722-b41f-837fbcbdc280,LNS14000000,Unemployment Rate,Monthly,2020,M05,May,13.2,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,4cef4072e0d153b8fcc6272083dfe9c36d3cfe2317d0676b0fccc998b8574abc
bdb968e8-4f3d-4306-9c5f-e7b7560794ff,CES0000000001,Total Nonfarm Employment,Monthly,2020,M05,May,133040,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,55d3d5cbd915b292512715fd9dc7b3ee0db0bdf2c104d2f7e67289a42a4abc16
07a778b3-37a5-4f34-b019-1e094921f769,LNS14000000,Unemployment Rate,Monthly,2020,M06,June,11.0,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,c0eed0b2769e40718cf10253de1ae41f7881a58759aceb938cc103eceba712be
4c63099b-c072-4652-9b58-04478f13b212,CES0000000001,Total Nonfarm Employment,Monthly,2020,M06,June,137671,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,83042dd2029783a93928cf650bb953c166a2a70b7c1a8ed9998bfc8661bfe52f
685c3985-5ab9-4367-8790-3dcdc0c67503,LNS14000000,Unemployment Rate,Monthly,2020,M07,July,10.2,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,374972ea2f5f646c57ec4691dd013d1f01829c6fc689cd9c6f6de63727464aed
12d5d25a-0977-4629-9878-6e73e524c300,CES0000000001,Total Nonfarm Employment,Monthly,2020,M07,July,139255,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,8bb9a6e55239b9b11ae8e1c76e42f0ffeb259f93cc55c98b6f765488bf842711
b8acca5f-b0ec-49f1-b575-ccb310911b83,LNS14000000,Unemployment Rate,Monthly,2020,M08,August,8.4,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,4b9f4af3cbebf5a2b43050e0ca27adcaa4f81ea27f86815f7227f99ab6f3a572
4329bf4a-b9d2-41f5-97bd-79ea2d1b715e,CES0000000001,Total Nonfarm Employment,Monthly,2020,M08,August,140821,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,d2d96c69c3202cf5af0c3d7029febe1067b06e9693650d661f2bf51a50240474
62e20a50-67ff-4af0-a640-652ca4a93456,LNS14000000,Unemployment Rate,Monthly,2020,M09,September,7.8,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,083f9e274ed76f4d8d0c01bfa0ee153d02a06f7046828cb2879c1d308ba296eb
b092ec94-55b4-4dd4-94c0-3c30d78c77f1,CES0000000001,Total Nonfarm Employment,Monthly,2020,M09,September,141770,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,1f1bf2f9836b84c85d72bc383e4dbe5180a8187b2875828f93a965ae583249c8
67b3399c-0859-4434-9616-caa46e07ab45,LNS14000000,Unemployment Rate,Monthly,2020,M10,October,6.9,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,a35196248e980fe09211a8cb86d59b8ef14dc9c8f653d86051e430d0173b8acc
6d20a3bf-ed3d-49af-ba6b-fc43e7cac0d9,CES0000000001,Total Nonfarm Employment,Monthly,2020,M10,October,142460,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,cffea3b253cd06c753b40db6d94a82e821f31d19e91e27fcc3824126b92b6bbf
57068a27-0d11-4de1-ad1a-b298624c8952,LNS14000000,Unemployment Rate,Monthly,2020,M11,November,6.7,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,83219849ca6c5d6f9b2fd9c956c987f033dabbacb6a18577d98e46898a703393
